fips,name,state,lat,lon,population
05065,05065,,36.0948792,-91.9136252,13653
05067,05067,,35.5964674,-91.2232051,16878
05069,05069,,34.277239,-91.929673,68199
05071,05071,,35.5733586,-93.4663223,25853
05073,05073,,33.2406294,-93.611514,6373
05075,05075,,36.0410983,-91.1011529,16292
05077,05077,,34.7795048,-90.7797172,8832
05079,05079,,33.9563846,-91.742355,13092
05081,05081,,33.7019411,-94.2362871,12104
05083,05083,,35.2186538,-93.7209102,21299
05085,05085,,34.7551137,-91.894132,73824
05087,05087,,36.0125452,-93.7240531,16496
05089,05089,,36.2666636,-92.6785765,16750
05091,05091,,33.3055054,-93.9015018,42875
05093,05093,,35.7669437,-90.0522072,41061
05095,05095,,34.6795117,-91.2033099,6903
05097,05097,,34.5456557,-93.664153,8525
05099,05099,,33.6666991,-93.3050716,8340
05101,05101,,35.9107423,-93.2158984,7343
05103,05103,,33.5911684,-92.8784131,22858
05105,05105,,34.9463629,-92.9268773,10056
05107,05107,,34.4236874,-90.8555931,16923
05109,05109,,34.1581907,-93.6586589,10234
05111,05111,,35.5688702,-90.6811037,23212
05113,05113,,34.4909149,-94.2308841,19476
05115,05115,,35.456557,-93.0268181,63234
05117,05117,,34.8311162,-91.5536205,8306
05119,05119,,34.7703106,-92.312996,397931
05121,05121,,36.3412985,-91.0284409,18442
05123,05123,,35.0228383,-90.7515058,23623
05125,05125,,34.6485246,-92.674463,122308
05127,05127,,34.8588693,-94.0636413,9928
05129,05129,,35.8963868,-92.6958884,7872
05131,05131,,35.1969808,-94.2749889,127941
05133,05133,,33.9948773,-94.2432792,16074
05135,05135,,36.1733989,-91.4710689,17243
05137,05137,,35.8570011,-92.1404819,12364
05139,05139,,33.1682186,-92.5981447,39262
05141,05141,,35.5829532,-92.5159757,15851
05143,05143,,35.978001,-94.2172695,242793
05145,05145,,35.2551175,-91.7530339,77075
05147,05147,,35.1927768,-91.2445353,6333
05149,05149,,34.9977133,-93.4083032,20489
06001,06001,,37.6471385,-121.912488,1673133
06003,06003,,38.6217831,-119.7983522,1344
06005,06005,,38.4435493,-120.653858,40095
06007,06007,,39.6653362,-121.6032086,217884
06009,06009,,38.1910682,-120.5541065,45349
06011,06011,,39.1777385,-122.2375629,21780
06013,06013,,37.919479,-121.9515431,1161643
06015,06015,,41.7499033,-123.9809983,27655
06017,06017,,38.7856116,-120.5342245,190568
06019,06019,,36.7610058,-119.6550193,1003150
06021,06021,,39.6025462,-122.4016998,28675
06023,06023,,40.7066554,-123.9261757,137014
06025,06025,,33.0408143,-115.3554001,180051
06027,06027,,36.5621604,-117.4042092,18804
06029,06029,,35.3466288,-118.7295064,905644
06031,06031,,36.072478,-119.8155301,151887
06033,06033,,39.0948019,-122.7467569,67749
06035,06035,,40.7152866,-120.6212225,32949
06037,06037,,34.1963983,-118.2618616,10019635
06039,06039,,37.2098213,-119.7498023,156304
06041,06041,,38.0513667,-122.7463958,262387
06043,06043,,37.5743432,-119.9117215,17225
06045,06045,,39.4323876,-123.4428811,91534
06047,06047,,37.1948063,-120.7228019,279150
06049,06049,,41.5929185,-120.7183704,8723
06051,06051,,37.9158363,-118.8751668,13291
06053,06053,,36.2401044,-121.3155781,438953
06055,06055,,38.5070999,-122.3259045,138795
06057,06057,,39.2975082,-120.7713429,102090
06059,06059,,33.6756872,-117.7772068,3182923
06061,06061,,39.0620323,-120.7227181,400330
06063,06063,,39.9922953,-120.8243709,19631
06065,06065,,33.7298275,-116.0022389,2409331
06067,06067,,38.4501363,-121.3443291,1571767
06069,06069,,36.6116507,-121.0858108,63329
06071,06071,,34.8566615,-116.1815707,2171071
06073,06073,,33.0236041,-116.7761174,3296317
06075,06075,,37.7272391,-123.0322294,865933
06077,06077,,37.9349815,-121.272244,771406
06079,06079,,35.3881891,-120.4488974,282771
06081,06081,,37.4146725,-122.3715457,762488
06083,06083,,34.5366774,-120.0383645,447651
06085,06085,,37.2216142,-121.6895401,1932022
06087,06087,,37.0123466,-122.0077889,272138
06089,06089,,40.7605142,-122.0435558,181935
06091,06091,,39.5769252,-120.5219926,3079
06093,06093,,41.5879861,-122.5332868,44151
06095,06095,,38.2672255,-121.939594,451432
06097,06097,,38.5251824,-122.9261095,492498
06099,06099,,37.5623162,-121.0028311,550842
06101,06101,,39.0361898,-121.7039397,99080
06103,06103,,40.1261573,-122.2322737,65345
06105,06105,,40.6478582,-123.114666,15818
06107,06107,,36.2288339,-118.7810551,470999
06109,06109,,38.0214344,-119.9647335,55243
06111,06111,,34.3587477,-119.1331453,845255
06113,06113,,38.6796091,-121.90275,216703
06115,06115,,39.27013,-121.3442587,80404
08001,08001,,39.8743252,-104.3318718,514969
08003,08003,,37.5684423,-105.7880414,16377
08005,08005,,39.6445537,-104.3317065,651621
08007,08007,,37.2023952,-107.0508634,13267
08009,08009,,37.3097802,-102.5437412,3519
08011,08011,,37.9318907,-103.0775841,5861
08013,08013,,40.0949634,-105.3977041,328713
08014,08014,,39.9535933,-105.0507868,72697
08015,08015,,38.7345986,-106.3000246,19436
